,feature,importance
104,"value__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",0.00043235244532547495
94,value__index_mass_quantile__q_0.8,0.00041847398376629097
593,"value__fft_coefficient__attr_""angle""__coeff_65",0.0004154837531989402
314,"value__fft_coefficient__attr_""real""__coeff_84",0.00041520737013133857
573,"value__fft_coefficient__attr_""angle""__coeff_45",0.00041273194607759555
92,value__index_mass_quantile__q_0.6,0.00041122668136816463
281,"value__fft_coefficient__attr_""real""__coeff_51",0.00040015263610372815
17,value__longest_strike_below_mean,0.0003930819232350291
334,"value__fft_coefficient__attr_""imag""__coeff_5",0.00039306859661743303
437,"value__fft_coefficient__attr_""abs""__coeff_8",0.0003650327372709914
539,"value__fft_coefficient__attr_""angle""__coeff_11",0.0003635088570224678
495,"value__fft_coefficient__attr_""abs""__coeff_66",0.00036280162645661645
558,"value__fft_coefficient__attr_""angle""__coeff_30",0.00036150522039535504
407,"value__fft_coefficient__attr_""imag""__coeff_78",0.0003606743838356655
361,"value__fft_coefficient__attr_""imag""__coeff_32",0.00035614971202721854
363,"value__fft_coefficient__attr_""imag""__coeff_34",0.00035308058257805413
264,"value__fft_coefficient__attr_""real""__coeff_34",0.00035241664342766676
624,"value__fft_coefficient__attr_""angle""__coeff_96",0.0003448842764467119
450,"value__fft_coefficient__attr_""abs""__coeff_21",0.0003396391708736339
370,"value__fft_coefficient__attr_""imag""__coeff_41",0.0003351833315846699
309,"value__fft_coefficient__attr_""real""__coeff_79",0.00033363024870411326
226,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",0.00033253992826424625
231,"value__fft_coefficient__attr_""real""__coeff_1",0.0003321687839429176
599,"value__fft_coefficient__attr_""angle""__coeff_71",0.0003285545098036105
591,"value__fft_coefficient__attr_""angle""__coeff_63",0.00032211840842604557
267,"value__fft_coefficient__attr_""real""__coeff_37",0.0003151126283569338
375,"value__fft_coefficient__attr_""imag""__coeff_46",0.0003046254304560643
469,"value__fft_coefficient__attr_""abs""__coeff_40",0.0003013264582175146
348,"value__fft_coefficient__attr_""imag""__coeff_19",0.0002894604822565539
413,"value__fft_coefficient__attr_""imag""__coeff_84",0.0002887213034364654
